permit_number,permit_type,permit_type_definition,permit_creation_date,block,lot,filed_date,issued_date,approved_date,completed_date,status,status_date,street_number,street_name,street_suffix,zipcode,existing_use,proposed_use,existing_units,proposed_units,estimated_cost,revised_cost,adu,primary_address_flag,supervisor_district,neighborhoods_analysis_boundaries,record_id,data_as_of,location,point_source
9025326,8,otc alterations permit,1990-12-11T00:00:00.000,0983,022,1990-12-11T00:00:00.000,1990-12-11T00:00:00.000,1990-12-11T00:00:00.000,1991-05-21T00:00:00.000,complete,1991-05-21T00:00:00.000,108,Presidio,Av,94115.0,apartments,apartments,7.0,7.0,3750.0,0.0,N,Y,2.0,Presidio Heights,318320277352,2025-08-07T23:55:01.000,POINT (-122.44721271 37.790627791),eas_address_point
9025336,8,otc alterations permit,1990-12-11T00:00:00.000,3561,073,1990-12-11T00:00:00.000,1990-12-11T00:00:00.000,1990-12-11T00:00:00.000,1991-01-10T00:00:00.000,complete,1991-01-10T00:00:00.000,205,Castro,St,94114.0,retail sales,apartments,4.0,4.0,1500.0,,N,Y,8.0,Castro/Upper Market,318330261157,2025-08-07T23:55:01.000,POINT (-122.435266119 37.765527126),eas_address_point
9025338,8,otc alterations permit,1990-12-11T00:00:00.000,2092,038,1990-12-11T00:00:00.000,1990-12-11T00:00:00.000,1990-12-11T00:00:00.000,1991-03-29T00:00:00.000,complete,1991-03-29T00:00:00.000,1958,43rd,Av,94116.0,1 family dwelling,1 family dwelling,1.0,1.0,2400.0,,N,Y,4.0,Sunset/Parkside,318332125594,2025-08-07T23:55:01.000,POINT (-122.501654468 37.75015291),eas_address_point
9025339,8,otc alterations permit,1990-12-11T00:00:00.000,0557,001A,1990-12-11T00:00:00.000,1990-12-11T00:00:00.000,1990-12-11T00:00:00.000,1991-04-29T00:00:00.000,complete,1991-04-29T00:00:00.000,2745,Webster,St,94123.0,apartments,apartments,0.0,0.0,16500.0,,N,Y,2.0,Marina,318334235369,2025-08-07T23:55:01.000,POINT (-122.433893172 37.796015945),eas_address_point
9025340,8,otc alterations permit,1990-12-11T00:00:00.000,6759,008,1990-12-11T00:00:00.000,1990-12-11T00:00:00.000,1990-12-11T00:00:00.000,,expired,1991-10-04T00:00:00.000,160,Chilton,Av,94131.0,1 family dwelling,1 family dwelling,0.0,0.0,2850.0,,N,Y,8.0,West of Twin Peaks,318335212290,2025-08-07T23:55:01.000,POINT (-122.437181764 37.733271232),eas_address_point
9025341,8,otc alterations permit,1990-12-11T00:00:00.000,2379,007,1990-12-11T00:00:00.000,1990-12-11T00:00:00.000,1990-12-11T00:00:00.000,1991-04-10T00:00:00.000,complete,1991-04-10T00:00:00.000,2439,46th,Av,94116.0,1 family dwelling,1 family dwelling,0.0,0.0,2750.0,,N,Y,4.0,Sunset/Parkside,318336133415,2025-08-07T23:55:01.000,POINT (-122.504895384 37.740995758),eas_address_point
9025061,3,additions alterations or repairs,1990-12-10T00:00:00.000,4004,014,1990-12-10T00:00:00.000,1991-04-10T00:00:00.000,1991-04-05T00:00:00.000,,expired,1991-11-14T00:00:00.000,288,Connecticut,St,94107.0,food/beverage hndlng,food/beverage hndlng,0.0,0.0,10000.0,,N,Y,10.0,Potrero Hill,780106360051,2025-08-07T23:55:01.000,POINT (-122.397661361 37.762635557),eas_address_point
9025088S,3,additions alterations or repairs,1990-12-10T00:00:00.000,1500,023,1990-12-10T00:00:00.000,1991-08-09T00:00:00.000,1991-08-06T00:00:00.000,,expired,1992-08-09T00:00:00.000,582,45th,Av,94121.0,2 family dwelling,2 family dwelling,2.0,2.0,55000.0,100000.0,N,Y,1.0,Outer Richmond,317989101715,2025-08-07T23:55:01.000,POINT (-122.505760231 37.777513238),eas_address_point
9025091,3,additions alterations or repairs,1990-12-10T00:00:00.000,3582,064,1990-12-10T00:00:00.000,1991-03-12T00:00:00.000,1991-03-08T00:00:00.000,,expired,1991-09-12T00:00:00.000,449,Castro,St,94114.0,food/beverage hndlng,food/beverage hndlng,0.0,0.0,10000.0,15000.0,N,Y,8.0,Castro/Upper Market,780110367658,2025-08-07T23:55:01.000,POINT (-122.434795149 37.761730341),eas_address_point
9025101,3,additions alterations or repairs,1990-12-10T00:00:00.000,6956,036,1990-12-10T00:00:00.000,1991-03-14T00:00:00.000,1991-01-17T00:00:00.000,1991-04-19T00:00:00.000,complete,1991-04-19T00:00:00.000,4798,Mission,St,94112.0,retail sales,retail sales,30.0,30.0,4800.0,,N,Y,11.0,Outer Mission,780113357772,2025-08-07T23:55:01.000,POINT (-122.437607416 37.721529386),eas_address_point
9025102,3,additions alterations or repairs,1990-12-10T00:00:00.000,6731,047,1990-12-10T00:00:00.000,1991-02-20T00:00:00.000,1991-02-14T00:00:00.000,1991-04-03T00:00:00.000,complete,1991-04-03T00:00:00.000,201,Sussex,St,94131.0,1 family dwelling,1 family dwelling,1.0,1.0,5350.0,,N,Y,8.0,Glen Park,318005211633,2025-08-07T23:55:01.000,POINT (-122.436604389 37.736244145),eas_address_point
9025108,3,additions alterations or repairs,1990-12-10T00:00:00.000,0190,023,1990-12-10T00:00:00.000,1990-12-20T00:00:00.000,1990-12-19T00:00:00.000,1991-01-14T00:00:00.000,complete,1991-01-14T00:00:00.000,1324,Taylor,St,94108.0,apartments,apartments,3.0,3.0,1.0,,N,Y,3.0,Nob Hill,85853862096,2025-08-07T23:55:01.000,POINT (-122.412726072 37.7946952),eas_address_point
9025111,3,additions alterations or repairs,1990-12-10T00:00:00.000,0309,023,1990-12-10T00:00:00.000,1991-01-25T00:00:00.000,1991-01-23T00:00:00.000,1991-02-04T00:00:00.000,complete,1991-02-04T00:00:00.000,259,Post,St,94108.0,retail sales,retail sales,0.0,0.0,4000.0,,N,,3.0,Financial District/South Beach,318026300404,2025-08-07T23:55:01.000,POINT (-122.406286567 37.788451845),eas_address_point
9025111,3,additions alterations or repairs,1990-12-10T00:00:00.000,0309,023,1990-12-10T00:00:00.000,1991-01-25T00:00:00.000,1991-01-23T00:00:00.000,1991-02-04T00:00:00.000,complete,1991-02-04T00:00:00.000,259,Post,St,94108.0,retail sales,retail sales,0.0,0.0,4000.0,,N,Y,3.0,Financial District/South Beach,31802569291,2025-08-07T23:55:01.000,POINT (-122.406286567 37.788451845),eas_address_point
9025115,3,additions alterations or repairs,1990-12-10T00:00:00.000,0860,023,1990-12-10T00:00:00.000,,,,cancelled,1992-01-10T00:00:00.000,212,Steiner,St,94117.0,apartments,apartments,3.0,3.0,40000.0,,N,,5.0,Hayes Valley,318031237878,2025-08-07T23:55:01.000,POINT (-122.431810682 37.771371786),eas_address_point
9025115,3,additions alterations or repairs,1990-12-10T00:00:00.000,0860,023,1990-12-10T00:00:00.000,,,,cancelled,1992-01-10T00:00:00.000,299,Laussat,St,94117.0,apartments,apartments,3.0,3.0,40000.0,,N,Y,5.0,Hayes Valley,31803083338,2025-08-07T23:55:01.000,POINT (-122.431726192 37.771384507),eas_address_point
9025117,3,additions alterations or repairs,1990-12-10T00:00:00.000,6920,017,1990-12-10T00:00:00.000,1991-03-19T00:00:00.000,1991-03-01T00:00:00.000,,expired,1991-09-19T00:00:00.000,112,Corona,St,94127.0,2 family dwelling,1 family dwelling,2.0,1.0,700.0,10000.0,N,Y,7.0,West of Twin Peaks,318034214161,2025-08-07T23:55:01.000,POINT (-122.466166351 37.7237559),eas_address_point
9025119,3,additions alterations or repairs,1990-12-10T00:00:00.000,1427,015,1990-12-10T00:00:00.000,1990-12-27T00:00:00.000,1990-12-21T00:00:00.000,,expired,1991-05-28T00:00:00.000,512,Clement,St,94118.0,retail sales,retail sales,2.0,2.0,450.0,,N,Y,1.0,Inner Richmond,31803699299,2025-08-07T23:55:01.000,POINT (-122.464797178 37.783193512),eas_address_point
9025120,3,additions alterations or repairs,1990-12-10T00:00:00.000,0194,033,1990-12-10T00:00:00.000,1991-01-28T00:00:00.000,1990-12-26T00:00:00.000,,expired,1991-07-25T00:00:00.000,615,Jackson,St,94133.0,food/beverage hndlng,food/beverage hndlng,0.0,0.0,1600.0,,N,Y,3.0,Chinatown,318038266464,2025-08-07T23:55:01.000,POINT (-122.405545838 37.795995509),eas_address_point
9025120,3,additions alterations or repairs,1990-12-10T00:00:00.000,0194,033,1990-12-10T00:00:00.000,1991-01-28T00:00:00.000,1990-12-26T00:00:00.000,,expired,1991-07-25T00:00:00.000,615,Jackson,St,94133.0,food/beverage hndlng,food/beverage hndlng,0.0,0.0,1600.0,,N,,3.0,Chinatown,318039296213,2025-08-07T23:55:01.000,POINT (-122.405545838 37.795995509),eas_address_point
9025120,3,additions alterations or repairs,1990-12-10T00:00:00.000,0194,033,1990-12-10T00:00:00.000,1991-01-28T00:00:00.000,1990-12-26T00:00:00.000,,expired,1991-07-25T00:00:00.000,615,Jackson,St,94133.0,food/beverage hndlng,food/beverage hndlng,0.0,0.0,1600.0,,N,,3.0,Chinatown,318040296341,2025-08-07T23:55:01.000,POINT (-122.405545838 37.795995509),eas_address_point
9025126,3,additions alterations or repairs,1990-12-10T00:00:00.000,1230,012,1990-12-10T00:00:00.000,1991-01-24T00:00:00.000,1990-12-28T00:00:00.000,,expired,1991-11-21T00:00:00.000,1654,Haight,St,94117.0,retail sales,retail sales,0.0,0.0,2200.0,,N,Y,5.0,Haight Ashbury,780115360068,2025-08-07T23:55:01.000,POINT (-122.449521492 37.769964487),eas_address_point
9025132,3,additions alterations or repairs,1990-12-10T00:00:00.000,6463,019,1990-12-10T00:00:00.000,1991-07-22T00:00:00.000,1991-07-22T00:00:00.000,,expired,1992-01-24T00:00:00.000,60,Curtis,St,94112.0,1 family dwelling,1 family dwelling,1.0,1.0,22000.0,,N,Y,11.0,Excelsior,318058203730,2025-08-07T23:55:01.000,POINT (-122.440099005 37.713875255),eas_address_point
9025133,3,additions alterations or repairs,1990-12-10T00:00:00.000,1846,045,1990-12-10T00:00:00.000,1990-12-17T00:00:00.000,1990-12-14T00:00:00.000,1991-01-12T00:00:00.000,complete,1991-01-12T00:00:00.000,233,Judah,St,94122.0,1 family dwelling,1 family dwelling,1.0,1.0,3500.0,,N,Y,7.0,Inner Sunset,318059117098,2025-08-07T23:55:01.000,POINT (-122.464648235 37.761994713),eas_address_point
9025134,3,additions alterations or repairs,1990-12-10T00:00:00.000,5309,010,1990-12-10T00:00:00.000,1991-04-22T00:00:00.000,1991-04-16T00:00:00.000,1991-10-04T00:00:00.000,complete,1991-10-04T00:00:00.000,1458,Oakdale,Av,94124.0,1 family dwelling,1 family dwelling,1.0,1.0,18000.0,,N,Y,10.0,Bayview Hunters Point,318060178856,2025-08-07T23:55:01.000,POINT (-122.387531487 37.733315427),eas_address_point
9025135,4,sign - erect,1990-12-10T00:00:00.000,0260,010,1990-12-10T00:00:00.000,1990-12-24T00:00:00.000,1990-12-14T00:00:00.000,1991-02-04T00:00:00.000,complete,1991-02-04T00:00:00.000,300,Montgomery,St,94104.0,retail sales,,,,700.0,,N,Y,3.0,Financial District/South Beach,31806166065,2025-08-07T23:55:01.000,POINT (-122.402533422 37.792327259),eas_address_point
9025136,4,sign - erect,1990-12-10T00:00:00.000,0260,010,1990-12-10T00:00:00.000,1990-12-24T00:00:00.000,1990-12-14T00:00:00.000,1991-02-04T00:00:00.000,complete,1991-02-04T00:00:00.000,300,Montgomery,St,94104.0,retail sales,,,,700.0,,N,Y,3.0,Financial District/South Beach,31806266065,2025-08-07T23:55:01.000,POINT (-122.402533422 37.792327259),eas_address_point
