OBJECTID,SRA,FHSZ,FHSZ_Description,Shape__Area,Shape__Length
7792,LRA,1,Moderate,2316.4649256765842,259.7110651815169
7793,LRA,1,Moderate,2961899.999999985,9179.99999999255
7794,LRA,1,Moderate,10287188.162365802,31655.8334365294
7795,LRA,1,Moderate,70803.29037365317,2344.2199542755666
7796,LRA,1,Moderate,24129917.92611879,202557.76852509825
7797,LRA,1,Moderate,126386.99972337484,2598.8736682199824
7799,LRA,1,Moderate,345145.2163697183,11961.299893411917
7800,LRA,1,Moderate,51756.0054230988,2324.6066278235703
7801,LRA,1,Moderate,487436.9167354405,7450.406762528838
7803,LRA,1,Moderate,4165634.841871977,15295.016480404236
7804,LRA,1,Moderate,238591.95645189285,6231.808526989398
7805,LRA,1,Moderate,1466294.3493377715,33621.42590017409
7807,LRA,1,Moderate,141089.43125644326,4317.109198235387
7808,LRA,1,Moderate,28410.15254175663,763.6666577718199
7809,LRA,1,Moderate,22526.11864989996,1603.5199808578352
7810,LRA,1,Moderate,313823.64421987534,4082.3423731280664
7811,LRA,1,Moderate,29307.26120889187,943.7320142066627
7812,LRA,1,Moderate,24460.729006171227,912.2634938256136
7813,LRA,1,Moderate,634741.7748715878,15386.227379917274
7814,LRA,1,Moderate,86956.0979038477,2604.90534001829
7815,LRA,1,Moderate,4543890.0954861045,65861.9238775092
7816,LRA,1,Moderate,197754.83214008808,5111.631730614608
7817,LRA,1,Moderate,254699.99999928474,10740.000000003725
7818,LRA,1,Moderate,1026900.0000016689,5820.000000007451
7819,LRA,1,Moderate,2288843.438031316,9798.33136369765
7820,LRA,1,Moderate,2744999.999997854,10620.000000011176
7821,LRA,1,Moderate,1058399.9999997616,5219.999999992549
7822,LRA,1,Moderate,1434600.0,6479.999999992549
7823,LRA,1,Moderate,2191500.0000007153,9719.999999996275
7824,LRA,1,Moderate,542700.0,15359.999999996275
7825,LRA,1,Moderate,7973525.968400121,94638.91965105594
7826,LRA,1,Moderate,30465.48708486557,1184.8832773620472
7827,LRA,1,Moderate,133064.50068426132,2712.7959794848994
7828,LRA,1,Moderate,108949.79108262062,2691.425600306855
7829,LRA,1,Moderate,4092530.5599799156,21610.76069870354
7830,LRA,1,Moderate,90144.03532528877,2073.650983309116
7832,LRA,1,Moderate,5310616.94021678,48490.36189760514
7834,LRA,1,Moderate,408631.9170894623,11947.65906437826
7835,LRA,1,Moderate,14447525.34386611,39871.813519119416
7864,LRA,1,Moderate,21822900.439063907,104152.25325547054
7900,LRA,1,Moderate,30692312.694545627,711663.6702630934
8210,LRA,2,High,478121.03724336624,5981.325454316053
8211,LRA,2,High,12228057.248229504,30724.80766987966
8212,LRA,2,High,427997.98377895355,6479.828972914855
8213,LRA,2,High,58184.684300899506,1858.1697578667147
8214,LRA,2,High,1150174.0823550224,9000.402188810975
8215,LRA,2,High,168544.0240674019,2229.916677293048
8217,LRA,2,High,608308.772714138,7073.175892595267
8218,LRA,2,High,942897.0383572578,17997.989690657974
8219,LRA,2,High,1859576.6986870766,16266.811174578346
8220,LRA,2,High,4931635.688105583,18050.629284923925
8221,LRA,2,High,32872839.738173485,115493.25075822479
8222,LRA,2,High,1961908.6446914673,14051.062479213275
8223,LRA,2,High,2480917.6055293083,16103.922642936588
8224,LRA,2,High,1027994.2202448845,6734.469102929017
8226,LRA,2,High,218074.27278375626,4768.409005244273
8227,LRA,2,High,403200.0,7379.999999992549
8228,LRA,2,High,157500.00000095367,2819.9999999925494
8229,LRA,2,High,26198.092771053314,819.1941897874651
8230,LRA,2,High,1043755.2715370655,10555.84520097983
8232,LRA,2,High,989882.9215912819,15495.188590778012
8233,LRA,2,High,160605.95393919945,2633.546497204259
8234,LRA,2,High,159416.33603692055,2763.0597265210404
